_id,sentence,target,aspect,score,type
1,Royal Mail chairman Donald Brydon set to step down,Royal Mail,Corporate/Appointment,-0.374,headline
100,Slump in Weir leads FTSE down from record high,Weir,Market/Volatility/Volatility,-0.827,headline
1000,AstraZeneca wins FDA approval for key new lung cancer pill,AstraZeneca,Corporate/Regulatory,0.549,headline
1002,UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,Lloyds,Corporate/Strategy,-0.266,headline
1005,Standard Chartered Shifts Emerging-Markets Strategy After Losses,Standard Chartered,Corporate/Strategy,-0.461,headline
1012,AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,AstraZeneca,Corporate/Appointment,0.393,headline
1016,Severn Trent share price rises as first half profit inches up as customer ...,Severn Trent,Stock/Price Action,0.526,headline
1022,Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,Glencore,Corporate/Legal,0.037,headline
1023,Lloyds to cut 945 jobs as part of three-year restructuring strategy,Lloyds,Corporate/Strategy/Reorganization,-0.532,headline
1024,AstraZeneca to Buy ZS Pharma for $2.7 Billion,ZS Pharma,Corporate/M&A/M&A,0.593,headline
1025,"Ackman, in email, says supports Valeant CEO Pearson",Valeant,Corporate/Company Communication,0.166,headline
1029,AstraZeneca sells US drug rights to Perrigo for $380 mln,Perrigo,Corporate/M&A/M&A,0.326,headline
1032,"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",ZS Pharma,Corporate/M&A/M&A,0.468,headline
1033,CORRECTED-Shire to buy Dyax for about $5.9 bln,Shire,Corporate/M&A/M&A,0.402,headline
1037,Barclays poised to replace Sir Mike Rake as he heads for exit,Barclays,Corporate/Appointment,0.077,headline
1038,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,ZS Pharma,Corporate/M&A/M&A,0.52,headline
1039,AstraZeneca shares climb 3% as drug maker ups profits forecasts,AstraZeneca,"Stock/Price Action/Bullish', 'Corporate/Financial/Financial Results/Earnings",0.64,headline
