Text,Sentiment
"Ruh-roh, *someone's* first ex wife is dancing right up to the line, careful not to cross it. 

Allow me, society creating *likeable* sociopaths extends beyond TV and into the corporate business model.

Elon Musk IS a #SerialKillerCEO.

#TheSociopathicBusinessModel
$TSLA $TWTR",-1
"Nice 9% pre market move for $para, pump my calls Uncle Buffett 🤑",1
"I'm an investor in $LOW, but I have no problem saying $HD's long term outlook is as strong as its ever been IMO...",1
"Everyone knew you would back out of the deal when $tsla crashed and you almost had to pay back your margin loans. You should just tell the truth instead of manipulating your followers, it’s catching up with you.",-1
"SELL EVERYTHING, BUY $TSLA 🚀🌕",1
"I’ll pay $10,000 to the charity of 
@elonmusk
’s choice if 
@tesla
 open sources all the “Full Self Driving” data. 

But that won’t happen.

Because Musk knows the biggest fraud in public markets is his own.",-1
$GLBE recovered from down 28% to even that’s so crazy LFG,1
$TSLA down bad bc everyone realizing you are a megalomaniac child. Pay the tax and leave us be.,-1
"The world's largest hedge fund, Bridgewater Associates, owned by Ray Dalio, has announced a stake in both $AMC & $GME.",1
"Hey 
@elonmusk
 
@garyblack00
 
@GerberKawasaki
 
@CathieDWood
 you guys seem to care about truth and transparency. Care to refute any of these claims that are pretty clearly laid out. I'm no expert, but seems like Elon and $TSLA are full of shit, and always have been. $TSLAQ 
@DOJCrimDiv",-1
"#BullishAlert 
Bullish Stock Alert: $HPQ at $38.94

This alert is meant for swing and day traders. For details, please see the pinned tweet on top of our profile.

#StocksToWatch #DayTrading",1
"SPAC darling $SOFI is getting slaughtered today ahead of earnings, which are due after market closes 📉",-1
$BRK.b #BerkshireHathaway looks like one of the few buys right now depending on open tomorrow.,1
"Then compare it to the indexes.  $tsla lags them all.  I'm not saying there aren't worse performers, but $tsla has been pretty awful.  ""Cratering"" isn't an unfair description.",-1
"what is shakin' with $JMIA +28% move today?  also $INVO just reported and signed new agreement #StocksInFocus #Tradingview #stocks #SwingTrading #smallcaps #microcaps #StocksToTrade 
@anyatrades
 
@StocksDiva
 
@betrbiz
 
@MayaTrades",1
"$PEP $PM 
Both on my watchlist making strong moves today",1
"⭐Top interesting ⭐
#Wallstreet #stocks 
today for intraday trading seem📈:

$BRDS 
$MITQ 
$IDRA
$AUVI 
$PPSI 
$ONON 
$SE 
$JMIA 

(After opening, wait for confirmation of a bullish signal.Ⓜ️y opinion, not advice) #swingtrading #trading #markets #investing  #stockmarket #Stocks",1
"Hey @SECGov If you're worried about stock fraud and people selling shares they don't own, have we got a story for you about $AMC and $GME.  We'd tell you, BUT WE ALREADY F'ING HAVE FOR OVER A YEAR.",-1
$AAPL 🍎 #GoNoGo  Flashing its first weekly warning sign since 2020 lows,-1
"why buy most other ETFs when we only need to buy $BRK.B?
#Berkshire #ETF #valueinvesting",1
I have taken 2 vacations this Yr and planning 3rd and 4th. There isn't a single location where $ABNB is a better deal than what I find on $BKNG,-1
"Consumer staples are household essentials—products that people can’t/won’t do without. Think food, beverages, tobacco, and household products.

These types of stocks hold up well even during economic turmoil.

Here are 7 quality stocks.
$UVV
$MDLZ
$UL
$KDP
$RBGLY
$MO
$BTI",1
"Twitter's Thoughts:

$SPY - Very Positive 
$TSLA - Very Positive 
$SPX - Very Positive 
$AGRI - Very Positive 
$QQQ - Very Positive 

#stocks #investing #trading",1
$BAC paid well this morning,1
"If you took the $TGT puts don't be greedy, take those profits 💰 and a big #Congratulations on the trade! 👏
#trading #OptionsTrading #stocks",1
Seems like $TSLA should welcome external validation if their ‘autopilot’ safety claims are true,-1
"$AAPL - bear flag remains in place. Failure to get over the 5 day moving average

#Top5in5",-1
"“ Warren Buffet “ : worlds greatest & best  investor wants to buy more #Apple stock at current rates 

“ Micheal Burry “ : world’s 1 of the best trader is shorting #Apple at current market price

I think later one is going to go wrong here as shorting $AAPL after -20% is insane !",1
